x,phi_exact,dphi_dx,d2phi_dx2
0.0,0.0,6.283185307179586,-0.0
0.010101010101010102,0.0634239196565645,6.270535222369132,-2.5038759863070674
0.020202020202020204,0.12659245357374926,6.23263590536453,-4.997669747744704
0.030303030303030304,0.1892512443604102,6.169639963339031,-7.471339657004568
0.04040404040404041,0.2511479871810792,6.081801058717146,-9.914925118428453
0.05050505050505051,0.3120334456984871,5.969472887765594,-12.318586675811463
0.06060606060606061,0.3716624556603275,5.83310775638327,-14.672645632419387
0.07070707070707072,0.4297949120891717,5.673254758825024,-16.96762302368441
0.08080808080808081,0.4861967361004687,5.490557566692907,-19.19427778564987
0.09090909090909091,0.5406408174555976,5.285751837097798,-21.343643965473255
0.10101010101010102,0.5929079290546405,5.059662250427868,-23.407066824153826
0.11111111111111112,0.6427876096865394,4.813199189651731,-25.37623768611191
0.12121212121212122,0.6900790114821119,4.547355074527528,-27.243227395292983
0.13131313131313133,0.7345917086575333,4.2632003654788395,-29.00051824308057
0.14141414141414144,0.7761464642917569,3.961879253228372,-30.641034239455475
0.15151515151515152,0.8145759520503357,3.64460505154575,-32.15816960551019
0.16161616161616163,0.8497254299495144,3.3126553116611954,-33.5458153725891
0.17171717171717174,0.8814533634475821,2.9673666780176307,-34.7983839809491
0.18181818181818182,0.9096319953545183,2.61012950607527,-35.910831778890596
0.19191919191919193,0.9341478602651067,2.2423822638408875,-36.87867933176281
0.20202020202020204,0.954902241444074,1.8656057396648638,-37.6980294590661
0.21212121212121213,0.9718115683235417,1.481317079629133,-38.36558292702231
0.22222222222222224,0.9848077530122081,1.0910636785353662,-38.878651733424846
0.23232323232323235,0.9938384644612541,0.6964169490922654,-39.23516993127473
0.24242424242424243,0.998867339183008,0.29896599439119415,-39.43370194762013
0.25252525252525254,0.9998741276738751,-0.09968879085110849,-39.47344836410184
0.26262626262626265,0.9968547759519424,-0.49794216451718987,-39.354249135928946
0.27272727272727276,0.9898214418809327,-0.8941905008323447,-39.07658423632267
0.2828282828282829,0.9788024462147786,-1.2868382475996145,-38.641571723833636
0.29292929292929293,0.9638421585599422,-1.6743043509253372,-38.05096324031469
0.30303030303030304,0.9450008187146685,-2.055028621565176,-37.30713695767735
0.31313131313131315,0.9223542941045814,-2.4274780172555164,-36.413088001832975
0.32323232323232326,0.8959937742913359,-2.790152815733609,-35.37241639237773
0.33333333333333337,0.8660254037844385,-3.1415926535897944,-34.18931254658433
0.3434343434343435,0.8325698546347712,-3.480382406635524,-32.86854040607066
0.3535353535353536,0.795761840530832,-3.8051578881090142,-31.41541825408827
0.36363636363636365,0.7557495743542583,-4.114611341773855,-29.835797300672784
0.37373737373737376,0.7126941713788627,-4.407496707791808,-28.136038121886227
0.38383838383838387,0.6667690005162917,-4.682634640165982,-26.322985048022183
0.393939393939394,0.6181589862206051,-4.938917255550925,-24.403938603903278
0.4040404040404041,0.5670598638627704,-5.175312594307836,-22.386626112244524
0.4141414141414142,0.5136773915734063,-5.390868775841799,-20.279170578451968
0.42424242424242425,0.4582265217274105,-5.58471783148899,-18.090057982146877
0.43434343434343436,0.4009305354066136,-5.756079199520135,-15.828103107120905
0.4444444444444445,0.3420201433256685,-5.904262868187098,-13.502414047312923
0.4545454545454546,0.28173255684142967,-6.02867215415666,-11.122355531729328
0.4646464646464647,0.22031053278654036,-6.128806105143705,-8.69751121598552
0.4747474747474748,0.15800139597334945,-6.20426151706926,-6.2376450923073286
0.48484848484848486,0.09505604330418288,-6.25473455762102,-3.7526621733804157
0.494949494949495,0.031727933498067656,-6.280021989678827,-1.252568608359996
0.5050505050505051,-0.03172793349806786,-6.280021989678827,1.252568608360004
0.5151515151515152,-0.09505604330418307,-6.25473455762102,3.7526621733804233
0.5252525252525253,-0.15800139597335008,-6.20426151706926,6.237645092307353
0.5353535353535354,-0.22031053278654056,-6.128806105143704,8.697511215985529
0.5454545454545455,-0.28173255684142984,-6.02867215415666,11.122355531729335
0.5555555555555556,-0.34202014332566866,-5.904262868187098,13.50241404731293
0.5656565656565657,-0.4009305354066142,-5.7560791995201335,15.82810310712093
0.5757575757575758,-0.4582265217274107,-5.58471783148899,18.090057982146885
0.5858585858585859,-0.5136773915734061,-5.3908687758418,20.27917057845196
0.595959595959596,-0.567059863862771,-5.175312594307834,22.386626112244546
0.6060606060606061,-0.6181589862206053,-4.938917255550925,24.403938603903285
0.6161616161616162,-0.6667690005162918,-4.682634640165981,26.322985048022186
0.6262626262626263,-0.7126941713788629,-4.407496707791808,28.136038121886234
0.6363636363636365,-0.7557495743542587,-4.114611341773852,29.8357973006728
0.6464646464646465,-0.7957618405308321,-3.805157888109013,31.415418254088273
0.6565656565656566,-0.8325698546347713,-3.4803824066355236,32.868540406070665
0.6666666666666667,-0.8660254037844388,-3.141592653589791,34.18931254658434
0.6767676767676768,-0.895993774291336,-2.790152815733608,35.37241639237774
0.686868686868687,-0.9223542941045817,-2.4274780172555115,36.41308800183299
0.696969696969697,-0.9450008187146683,-2.055028621565177,37.30713695767735
0.7070707070707072,-0.9638421585599422,-1.6743043509253361,38.05096324031469
0.7171717171717172,-0.9788024462147787,-1.2868382475996119,38.64157172383364
0.7272727272727273,-0.9898214418809327,-0.8941905008323447,39.07658423632267
0.7373737373737375,-0.9968547759519424,-0.49794216451718587,39.354249135928946
0.7474747474747475,-0.9998741276738751,-0.09968879085110585,39.47344836410184
0.7575757575757577,-0.998867339183008,0.298965994391194,39.43370194762013
0.7676767676767677,-0.9938384644612541,0.6964169490922654,39.23516993127473
0.7777777777777778,-0.9848077530122081,1.0910636785353647,38.878651733424846
0.787878787878788,-0.9718115683235417,1.4813170796291344,38.36558292702231
0.797979797979798,-0.9549022414440739,1.865605739664865,37.6980294590661
0.8080808080808082,-0.9341478602651064,2.2423822638408915,36.878679331762804
0.8181818181818182,-0.9096319953545182,2.610129506075272,35.91083177889059
0.8282828282828284,-0.881453363447582,2.967366678017633,34.79838398094909
0.8383838383838385,-0.8497254299495144,3.3126553116611954,33.5458153725891
0.8484848484848485,-0.8145759520503358,3.644605051545749,32.158169605510196
0.8585858585858587,-0.7761464642917566,3.961879253228375,30.64103423945546
0.8686868686868687,-0.7345917086575332,4.26320036547884,29.000518243080563
0.8787878787878789,-0.6900790114821114,4.547355074527531,27.24322739529296
0.888888888888889,-0.6427876096865389,4.813199189651733,25.376237686111892
0.8989898989898991,-0.5929079290546402,5.05966225042787,23.407066824153816
0.9090909090909092,-0.5406408174555974,5.285751837097798,21.34364396547325
0.9191919191919192,-0.4861967361004688,5.490557566692907,19.194277785649874
0.9292929292929294,-0.42979491208917114,5.673254758825026,16.96762302368439
0.9393939393939394,-0.37166245566032724,5.83310775638327,14.672645632419377
0.9494949494949496,-0.31203344569848623,5.969472887765597,12.318586675811428
0.9595959595959597,-0.2511479871810794,6.081801058717146,9.91492511842846
0.9696969696969697,-0.18925124436041063,6.16963996333903,7.471339657004585
0.9797979797979799,-0.12659245357374904,6.23263590536453,4.997669747744695
0.98989898989899,-0.06342391965656452,6.270535222369132,2.5038759863070683
1.0,-2.4492935982947064e-16,6.283185307179586,9.669423550915769e-15
